2025-06-10 00:13:49.842 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 00:13:49.842 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 00:13:49.842 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 00:15:19.219 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 00:15:19.219 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 00:15:19.219 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 00:15:58.619 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 00:15:58.619 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 00:15:58.619 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 00:38:20.068 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 00:38:20.069 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 00:38:20.069 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 00:41:45.182 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 00:41:45.182 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 00:41:45.183 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 10:38:11.582 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 10:38:11.584 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 10:38:11.585 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 10:44:00.753 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 10:44:00.753 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 10:44:00.753 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 16:22:16.874 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 16:22:16.877 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 16:22:16.877 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-10 18:36:37.018 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-10 18:36:37.022 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250610.log
2025-06-10 18:36:37.022 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
