2025-06-10 00:46:58.679 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 42, Cols: 194
2025-06-10 00:46:58.679 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 00:46:58.680 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 00:46:58.687 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 21805 for session terminal-main-session
2025-06-10 00:46:58.690 | INFO     | concierge.core.services.terminal.pty_manager | read_from_pty        | L204  | Starting PTY reader for session terminal-main-session
2025-06-10 00:46:58.690 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L210  | PTY process found: PID=21805, FD=30
2025-06-10 00:46:58.691 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L263  | Creating reader task for session terminal-main-session
2025-06-10 00:46:58.692 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L266  | Reader task created: <Task pending name='Task-32' coro=<PTYManager.read_from_pty.<locals>.reader() running at /data/openpilot/openpilot/selfdrive/chauffeur/concierge/core/services/terminal/pty_manager.py:213>>
2025-06-10 00:46:58.694 | DEBUG    | concierge.core.services.terminal.pty_manager | reader               | L214  | Reader task started for session terminal-main-session
2025-06-10 00:46:58.695 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #1)
2025-06-10 00:46:58.826 | INFO     | concierge.core.services.terminal.pty_manager | terminate_pty        | L308  | Terminated PTY process for session terminal-main-session
2025-06-10 00:46:58.930 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L260  | PTY reader for session terminal-main-session stopped (read 1 times)
2025-06-10 00:48:40.853 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L46   | === CREATE PTY ===
2025-06-10 00:48:40.853 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L47   | Session ID: terminal-main-session
2025-06-10 00:48:40.853 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 42, Cols: 194
2025-06-10 00:48:40.853 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 00:48:40.853 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 00:48:40.855 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 21834 for session terminal-main-session
2025-06-10 00:48:40.856 | INFO     | concierge.core.services.terminal.pty_manager | read_from_pty        | L204  | Starting PTY reader for session terminal-main-session
2025-06-10 00:48:40.856 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L210  | PTY process found: PID=21834, FD=29
2025-06-10 00:48:40.856 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L263  | Creating reader task for session terminal-main-session
