2025-06-10 00:38:20.082 | INFO     | concierge.app.main                       | create_app           | L54   | Configuring templates from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 00:41:45.183 | DEBUG    | concierge.app.main                       | setup_logging        | L76   | Logger initialized for module: app.main
2025-06-10 00:41:45.183 | DEBUG    | concierge.app.main                       | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_app_main_20250610.log
2025-06-10 00:41:45.183 | DEBUG    | concierge.app.main                       | setup_logging        | L78   | Debug mode: True
2025-06-10 00:41:45.183 | INFO     | concierge.app.main                       | create_app           | L18   | === CREATING CONCIERGE APP ===
2025-06-10 00:41:45.183 | DEBUG    | concierge.app.main                       | create_app           | L21   | No settings provided, creating default ConciergeSettings
2025-06-10 00:41:45.183 | DEBUG    | concierge.app.main                       | create_app           | L24   | Settings: host=0.0.0.0, port=5055, debug=False
2025-06-10 00:41:45.183 | DEBUG    | concierge.app.main                       | create_app           | L25   | Static dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 00:41:45.184 | DEBUG    | concierge.app.main                       | create_app           | L26   | Templates dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 00:41:45.184 | INFO     | concierge.app.main                       | create_app           | L36   | FastAPI app instance created
2025-06-10 00:41:45.184 | INFO     | concierge.app.main                       | create_app           | L42   | Including v1 API router at /api
2025-06-10 00:41:45.195 | INFO     | concierge.app.main                       | create_app           | L46   | Mounting static files from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 00:41:45.195 | INFO     | concierge.app.main                       | create_app           | L54   | Configuring templates from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 00:41:45.196 | INFO     | concierge.app.main                       | <module>             | L94   | Starting Concierge server on 0.0.0.0:5055
2025-06-10 10:38:11.585 | DEBUG    | concierge.app.main                       | setup_logging        | L76   | Logger initialized for module: app.main
2025-06-10 10:38:11.585 | DEBUG    | concierge.app.main                       | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_app_main_20250610.log
2025-06-10 10:38:11.586 | DEBUG    | concierge.app.main                       | setup_logging        | L78   | Debug mode: True
2025-06-10 10:38:11.586 | INFO     | concierge.app.main                       | create_app           | L18   | === CREATING CONCIERGE APP ===
2025-06-10 10:38:11.586 | DEBUG    | concierge.app.main                       | create_app           | L21   | No settings provided, creating default ConciergeSettings
2025-06-10 10:38:11.586 | DEBUG    | concierge.app.main                       | create_app           | L24   | Settings: host=0.0.0.0, port=5055, debug=False
2025-06-10 10:38:11.586 | DEBUG    | concierge.app.main                       | create_app           | L25   | Static dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 10:38:11.586 | DEBUG    | concierge.app.main                       | create_app           | L26   | Templates dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 10:38:11.587 | INFO     | concierge.app.main                       | create_app           | L36   | FastAPI app instance created
2025-06-10 10:38:11.587 | INFO     | concierge.app.main                       | create_app           | L42   | Including v1 API router at /api
2025-06-10 10:38:11.597 | INFO     | concierge.app.main                       | create_app           | L46   | Mounting static files from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 10:38:11.597 | INFO     | concierge.app.main                       | create_app           | L54   | Configuring templates from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 10:38:11.598 | INFO     | concierge.app.main                       | <module>             | L94   | Starting Concierge server on 0.0.0.0:5055
2025-06-10 10:44:00.754 | DEBUG    | concierge.app.main                       | setup_logging        | L76   | Logger initialized for module: app.main
2025-06-10 10:44:00.754 | DEBUG    | concierge.app.main                       | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_app_main_20250610.log
2025-06-10 10:44:00.754 | DEBUG    | concierge.app.main                       | setup_logging        | L78   | Debug mode: True
2025-06-10 10:44:00.754 | INFO     | concierge.app.main                       | create_app           | L18   | === CREATING CONCIERGE APP ===
2025-06-10 10:44:00.754 | DEBUG    | concierge.app.main                       | create_app           | L21   | No settings provided, creating default ConciergeSettings
2025-06-10 10:44:00.754 | DEBUG    | concierge.app.main                       | create_app           | L24   | Settings: host=0.0.0.0, port=5055, debug=False
2025-06-10 10:44:00.754 | DEBUG    | concierge.app.main                       | create_app           | L25   | Static dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 10:44:00.755 | DEBUG    | concierge.app.main                       | create_app           | L26   | Templates dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 10:44:00.755 | INFO     | concierge.app.main                       | create_app           | L36   | FastAPI app instance created
2025-06-10 10:44:00.755 | INFO     | concierge.app.main                       | create_app           | L42   | Including v1 API router at /api
2025-06-10 10:44:00.765 | INFO     | concierge.app.main                       | create_app           | L46   | Mounting static files from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 10:44:00.766 | INFO     | concierge.app.main                       | create_app           | L54   | Configuring templates from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 10:44:00.766 | INFO     | concierge.app.main                       | <module>             | L94   | Starting Concierge server on 0.0.0.0:5055
2025-06-10 16:22:16.879 | DEBUG    | concierge.app.main                       | setup_logging        | L76   | Logger initialized for module: app.main
2025-06-10 16:22:16.880 | DEBUG    | concierge.app.main                       | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_app_main_20250610.log
2025-06-10 16:22:16.880 | DEBUG    | concierge.app.main                       | setup_logging        | L78   | Debug mode: True
2025-06-10 16:22:16.880 | INFO     | concierge.app.main                       | create_app           | L18   | === CREATING CONCIERGE APP ===
2025-06-10 16:22:16.880 | DEBUG    | concierge.app.main                       | create_app           | L21   | No settings provided, creating default ConciergeSettings
2025-06-10 16:22:16.881 | DEBUG    | concierge.app.main                       | create_app           | L24   | Settings: host=0.0.0.0, port=5055, debug=False
2025-06-10 16:22:16.881 | DEBUG    | concierge.app.main                       | create_app           | L25   | Static dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 16:22:16.882 | DEBUG    | concierge.app.main                       | create_app           | L26   | Templates dir: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 16:22:16.882 | INFO     | concierge.app.main                       | create_app           | L36   | FastAPI app instance created
2025-06-10 16:22:16.883 | INFO     | concierge.app.main                       | create_app           | L42   | Including v1 API router at /api
2025-06-10 16:22:16.906 | INFO     | concierge.app.main                       | create_app           | L46   | Mounting static files from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/static
2025-06-10 16:22:16.907 | INFO     | concierge.app.main                       | create_app           | L54   | Configuring templates from /data/openpilot/openpilot/selfdrive/chauffeur/concierge/templates
2025-06-10 16:22:16.908 | INFO     | concierge.app.main                       | <module>             | L100  | Starting Concierge server on 0.0.0.0:5055
